Team,W-L,Total DVOA Rank, Total DVOA ,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,1-Mar,1.0000,0.3010,1.0000,0.3010,7.0000,0.0900,7.0000,0.0900,2.0000,-0.2410,2.0000,-0.2410,25.0000,-0.0310,25.0000,-0.0310
KC,Apr-00,2.0000,0.2800,2.0000,0.2800,4.0000,0.2190,4.0000,0.2190,5.0000,-0.1310,5.0000,-0.1310,32.0000,-0.0690,32.0000,-0.0690
BAL,1-Mar,3.0000,0.2700,3.0000,0.2700,11.0000,0.0610,11.0000,0.0610,9.0000,-0.0730,9.0000,-0.0730,1.0000,0.1360,1.0000,0.1360
IND,1-Mar,4.0000,0.2530,4.0000,0.2530,24.0000,-0.0550,24.0000,-0.0550,1.0000,-0.2570,1.0000,-0.2570,4.0000,0.0510,4.0000,0.0510
GB,Apr-00,5.0000,0.2520,5.0000,0.2520,1.0000,0.3040,1.0000,0.3040,26.0000,0.0880,26.0000,0.0880,9.0000,0.0360,9.0000,0.0360
SEA,Apr-00,6.0000,0.2390,6.0000,0.2390,3.0000,0.2230,3.0000,0.2230,21.0000,0.0380,21.0000,0.0380,3.0000,0.0540,3.0000,0.0540
PIT,Mar-00,7.0000,0.2070,7.0000,0.2070,18.0000,0.0140,18.0000,0.0140,3.0000,-0.1850,3.0000,-0.1850,13.0000,0.0080,13.0000,0.0080
NO,2-Feb,8.0000,0.1870,8.0000,0.1870,8.0000,0.0830,8.0000,0.0830,8.0000,-0.0770,8.0000,-0.0770,10.0000,0.0280,10.0000,0.0280
SF,2-Feb,9.0000,0.1700,9.0000,0.1700,15.0000,0.0480,15.0000,0.0480,6.0000,-0.1210,6.0000,-0.1210,15.0000,0.0010,15.0000,0.0010
BUF,Apr-00,10.0000,0.1640,10.0000,0.1640,5.0000,0.1950,5.0000,0.1950,22.0000,0.0570,22.0000,0.0570,11.0000,0.0250,11.0000,0.0250
LAR,1-Mar,11.0000,0.1550,11.0000,0.1550,2.0000,0.2260,2.0000,0.2260,15.0000,0.0050,15.0000,0.0050,31.0000,-0.0660,31.0000,-0.0660
CLE,1-Mar,12.0000,0.0250,12.0000,0.0250,9.0000,0.0750,9.0000,0.0750,17.0000,0.0120,17.0000,0.0120,27.0000,-0.0380,27.0000,-0.0380
MIN,3-Jan,13.0000,0.0250,13.0000,0.0250,16.0000,0.0450,16.0000,0.0450,13.0000,-0.0070,13.0000,-0.0070,23.0000,-0.0270,23.0000,-0.0270
TEN,Mar-00,14.0000,0.0220,14.0000,0.0220,13.0000,0.0590,13.0000,0.0590,18.0000,0.0200,18.0000,0.0200,18.0000,-0.0160,18.0000,-0.0160
JAX,3-Jan,15.0000,-0.0130,15.0000,-0.0130,6.0000,0.1690,6.0000,0.1690,32.0000,0.1630,32.0000,0.1630,20.0000,-0.0200,20.0000,-0.0200
DAL,3-Jan,16.0000,-0.0320,16.0000,-0.0320,12.0000,0.0610,12.0000,0.0610,24.0000,0.0790,24.0000,0.0790,17.0000,-0.0140,17.0000,-0.0140
NE,2-Feb,17.0000,-0.0410,17.0000,-0.0410,17.0000,0.0230,17.0000,0.0230,23.0000,0.0680,23.0000,0.0680,14.0000,0.0030,14.0000,0.0030
LAC,3-Jan,18.0000,-0.0540,18.0000,-0.0540,19.0000,0.0110,19.0000,0.0110,20.0000,0.0240,20.0000,0.0240,29.0000,-0.0400,29.0000,-0.0400
CAR,2-Feb,19.0000,-0.0560,19.0000,-0.0560,14.0000,0.0580,14.0000,0.0580,28.0000,0.0980,28.0000,0.0980,19.0000,-0.0160,19.0000,-0.0160
CIN,1/2/01,20.0000,-0.0640,20.0000,-0.0640,26.0000,-0.0980,26.0000,-0.0980,16.0000,0.0080,16.0000,0.0080,7.0000,0.0420,7.0000,0.0420
HOU,0-4,21.0000,-0.0730,21.0000,-0.0730,20.0000,0.0030,20.0000,0.0030,27.0000,0.0900,27.0000,0.0900,12.0000,0.0130,12.0000,0.0130
CHI,1-Mar,22.0000,-0.0930,22.0000,-0.0930,27.0000,-0.1550,27.0000,-0.1550,7.0000,-0.1060,7.0000,-0.1060,30.0000,-0.0430,30.0000,-0.0430
ARI,2-Feb,23.0000,-0.0980,23.0000,-0.0980,25.0000,-0.0760,25.0000,-0.0760,19.0000,0.0220,19.0000,0.0220,16.0000,-0.0010,16.0000,-0.0010
DET,3-Jan,24.0000,-0.1090,24.0000,-0.1090,23.0000,-0.0510,23.0000,-0.0510,29.0000,0.1080,29.0000,0.1080,6.0000,0.0490,6.0000,0.0490
LV,2-Feb,25.0000,-0.1170,25.0000,-0.1170,10.0000,0.0640,10.0000,0.0640,30.0000,0.1590,30.0000,0.1590,22.0000,-0.0230,22.0000,-0.0230
MIA,3-Jan,26.0000,-0.1210,26.0000,-0.1210,22.0000,-0.0290,22.0000,-0.0290,31.0000,0.1600,31.0000,0.1600,2.0000,0.0680,2.0000,0.0680
ATL,0-4,27.0000,-0.1360,27.0000,-0.1360,21.0000,-0.0180,21.0000,-0.0180,25.0000,0.0790,25.0000,0.0790,28.0000,-0.0380,28.0000,-0.0380
WAS,3-Jan,28.0000,-0.1710,28.0000,-0.1710,29.0000,-0.2830,29.0000,-0.2830,4.0000,-0.1390,4.0000,-0.1390,24.0000,-0.0280,24.0000,-0.0280
NYJ,0-4,29.0000,-0.2650,29.0000,-0.2650,28.0000,-0.2830,28.0000,-0.2830,10.0000,-0.0530,10.0000,-0.0530,26.0000,-0.0350,26.0000,-0.0350
PHI,1/2/01,30.0000,-0.2970,30.0000,-0.2970,31.0000,-0.3420,31.0000,-0.3420,14.0000,-0.0050,14.0000,-0.0050,8.0000,0.0400,8.0000,0.0400
DEN,3-Jan,31.0000,-0.3010,31.0000,-0.3010,30.0000,-0.3010,30.0000,-0.3010,12.0000,-0.0210,12.0000,-0.0210,21.0000,-0.0210,21.0000,-0.0210
NYG,0-4,32.0000,-0.3240,32.0000,-0.3240,32.0000,-0.3980,32.0000,-0.3980,11.0000,-0.0230,11.0000,-0.0230,5.0000,0.0500,5.0000,0.0500